amino,fold
H,11
H,-99
P,891
H,-1
P,-1
H,-2
P,-1
H,-1
P,2
H,1
H,2
H,-1
P,-891
P,-2
H,-2
H,-2
H,-1
H,-1
H,-1
H,2
H,699
H,-678
H,73107
H,0
score,-1
