amino,fold
C,1
P,-2
P,3
C,-3
H,-1
P,5
P,-2
C,1
H,-3
P,2
P,0
C,-2
P,4
P,-1
H,-4
H,3
H,-4
H,5
H,-3
H,-1
C,0
C,4
P,0
C,1
H,-1
P,1
P,0
C,0
P,-4
C,3
H,-5
P,5
P,-4
H,1
P,1
C,0
score,-1.5
