amino,fold
H,0
H,-2
C,-2
C,-2
P,1
H,1
P,2
H,1
P,1
H,1
P,-2
H,1
H,1
H,1
P,-2
P,-1
H,-1
H,-1
H,-1
H,-13
C,-1
H,12
H,0
score,-9
