amino,fold
H,2
C,-3
P,3
H,0
P,-4
H,5
P,-1
H,-3
C,4
H,-1
H,-5
H,5
H,-3
P,2
C,1
C,1
P,-4
P,-1
H,5
P,-5
P,5
P,-5
H,-1
P,0
P,5
P,-1
P,-3
C,3
P,-4
P,4
P,2
H,-1
P,-3
P,-1
P,-1
H,0
P,5
H,-3
H,2
H,1
H,-1
C,-2
H,-1
P,4
H,-3
P,4
H,-2
P,1
H,-2
H,0
score,-1.0
